full_smiles,rejection
N#CC.C1=CC2=C(C=C1F)NC=N2,0.453443243
CC(OCC)=O.OC1=CC2=CC=C(O)C=C2C=C1,0.571928817
O=CN(C)C.C1=CC=C(C=C1)OC2=CC=C(C=C2)N,0.708687648
CCO.O=C(C(CC(CC(C(OC)=O)C)(C(OC)=O)C)(CC(C(OC)=O)(CC(C(OC)=O)(CC(C(OC)=O)(CC(C(OC)=O)(C)C)C)C)C)C)OC,0.842
CC(C)=O.CC1=CC(O)=C(C(C)C)C=C1,0.948905032
CO.OC1=C([N+]([O-])=O)C=CC=C1Br,0.24
CO.O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,0.87
CO.OC1=C([N+]([O-])=O)C=CC=C1Br,0.07
O.COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,0.96
CO.CC1=NC=CC=C1,0.47
CO.N#CC1=C(F)C(F)=C(C#N)C(F)=C1F,0.97
CC1=CC=CC=C1.O=C(C(CC(CC(C(OC)=O)C)(C(OC)=O)C)(CC(C(OC)=O)(CC(C(OC)=O)(CC(C(OC)=O)(CC(C(OC)=O)(CC(C(OC)=O)(C)C)C)C)C)C)C)OC,0.974
O.N[C@@H]([C@@H](C)CC)C(O)=O,0.39
CC(C)=O.CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C)(C)C3=CC=CC=C3,0.745
CCCCCCC.CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC,-0.000431727
CO.C1(C2=CC=CC=C2)=NC=CN1,0.9
CC(C)(C)OC.N#CC1=CC(F)=CC(F)=C1,0.037172779
CC(C)(C)OC.CC(C)(CC(=C)C1=CC=CC=C1)C2=CC=CC=C2,-0.025146937
CO.c1ccc(-c2ccccc2)cc1,0.19
O.CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,1.0
O=CN(C)C.Nc1ccc(Br)cc1,0.405879616
CCO.[H][C@@]1([C@@H](C2=CC=NC3=CC=C(C=C23)O)OC(C(C)(C)C)=O)C[C@@H]4CC[N@]1C[C@@H]4C=C,0.97
CC1=CC=CC=C1.CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C)(C)C4=CC=CC=C4,0.597
CO.CCN(CC)c1ccc2C=C(C(=O)Oc2c1)c3sc4ccccc4n3,1.0
O.CCN(CC)CCOC(=O)C1=CC=C(C=C1)N,0.976
O.CC1=CC=C(C=C1)C,0.98
ClCCl.CCOC(=O)C(CC=C)(CC=C)C(=O)OCC,0.01
CC1=CC=CC=C1.C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,0.471145219
O.CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,0.8795
CC1=CC=CC=C1.CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C)(C)C3=CC=CC=C3,0.496
O.CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,0.822
CC#N.CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C)(C)C6=CC=CC=C6,0.335
CO.C1=CC=C(C(=C1)C(=O)N)N,0.67
CO.C1=CC2=C(C=CC(=C2)N)C=C1C(=O)O,0.97
O.C(=O)(N)N,0.1716
CO.COC1=CC(C2=CC=CC(OC)=C2)=CC=C1,0.010021763
CO.CC(OCC(C)OCC(C)O)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,0.9786
CC1=CC=CC=C1.CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C)(C)C9=CC=CC=C9,0.9784
CC1CCCO1.C1=C(C(=CC(=C1Cl)Cl)C#N)C#N,0.364471692
CC1=CC=CC=C1.CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C9=CC=CC=C9)CC(C%10=CC=CC=C%10)CC(C%11=CC=CC=C%11)CC(C%12=CC=CC=C%12)CC(C)(C)C%13=CC=CC=C%13,0.965
CC1=CC=CC=C1.CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C9=CC=CC=C9)CC(C%10=CC=CC=C%10)CC(C%11=CC=CC=C%11)CC(C%12=CC=CC=C%12)CC(C%13=CC=CC=C%13)CC(C%14=CC=CC=C%14)CC(C)(C)C%15=CC=CC=C%15,0.999
N#CC.N#CC1=CC=C(N)C=C1,0.387468386
CO.NC1=CC=CC2=C(N)C=CC=C12,0.96
CC1=CC=CC=C1.C1=CC=C(C=C1)NC2=CC=CC3=CC=CC=C32,0.297192977
CO.C#Cc1ccc(C)cc1,0.9
N#CC.COC1=CC(OC)=CC(Br)=C1,0.938257594
O.OC(C1=C(C2=C3C=C(C(C(Br)=C3OC4=C2C=C(C(O)=C4Br)Br)=O)Br)C=CC=C1)=O,0.881
CO.C(OCc1ccccc1)c2ccccc2,0.32
CC(O)C.CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC,-0.040123651
CO.OC(C(O)=O)C1=CC=CC=C1,0.98
CC(C)=O.Cc1c(C=O)c(C)c(C=O)c(C)c1C=O,0.43623403
CC(C)=O.CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C)(C)C3=CC=CC=C3,0.745
